"","x1","x2","y","isolate"
"1","5.16","5℃",0,"A"
"2","5.16","10℃",0,"A"
"3","5.16","15℃",0.9,"A"
"4","5.16","20℃",1.4,"A"
"5","5.16","25℃",2.3,"A"
"6","5.16","30℃",1.95,"A"
"7","5.16","35℃",0.84,"A"
"8","5.16","40℃",0,"A"
"9","5.17","5℃",0,"A"
"10","5.17","10℃",0,"A"
"11","5.17","15℃",1.03,"A"
"12","5.17","20℃",1.59,"A"
"13","5.17","25℃",2.72,"A"
"14","5.17","30℃",2.3,"A"
"15","5.17","35℃",0.95,"A"
"16","5.17","40℃",0,"A"
"17","5.18","5℃",0,"A"
"18","5.18","10℃",0.79,"A"
"19","5.18","15℃",1.23,"A"
"20","5.18","20℃",1.88,"A"
"21","5.18","25℃",3.04,"A"
"22","5.18","30℃",2.53,"A"
"23","5.18","35℃",0.98,"A"
"24","5.18","40℃",0,"A"
"25","5.19","5℃",0.77,"A"
"26","5.19","10℃",0.88,"A"
"27","5.19","15℃",1.38,"A"
"28","5.19","20℃",2.07,"A"
"29","5.19","25℃",3.41,"A"
"30","5.19","30℃",2.78,"A"
"31","5.19","35℃",1,"A"
"32","5.19","40℃",0,"A"
"33","5.2","5℃",0.8,"A"
"34","5.2","10℃",1.23,"A"
"35","5.2","15℃",1.59,"A"
"36","5.2","20℃",2.29,"A"
"37","5.2","25℃",3.93,"A"
"38","5.2","30℃",3.04,"A"
"39","5.2","35℃",1.07,"A"
"40","5.2","40℃",NA,"A"
"41","5.21","5℃",NA,"A"
"42","5.21","10℃",NA,"A"
"43","5.21","15℃",NA,"A"
"44","5.21","20℃",NA,"A"
"45","5.21","25℃",NA,"A"
"46","5.21","30℃",NA,"A"
"47","5.21","35℃",NA,"A"
"48","5.21","40℃",NA,"A"
"49","5.22","5℃",NA,"A"
"50","5.22","10℃",NA,"A"
"51","5.22","15℃",NA,"A"
"52","5.22","20℃",NA,"A"
"53","5.22","25℃",NA,"A"
"54","5.22","30℃",NA,"A"
"55","5.22","35℃",NA,"A"
"56","5.22","40℃",NA,"A"
"57","5.23","5℃",0.78,"A"
"58","5.23","10℃",1.57,"A"
"59","5.23","15℃",1.92,"A"
"60","5.23","20℃",2.76,"A"
"61","5.23","25℃",5.18,"A"
"62","5.23","30℃",3.87,"A"
"63","5.23","35℃",1.24,"A"
"64","5.23","40℃",0,"A"
"65","5.24","5℃",0.85,"A"
"66","5.24","10℃",1.71,"A"
"67","5.24","15℃",2.14,"A"
"68","5.24","20℃",3.06,"A"
"69","5.24","25℃",5.67,"A"
"70","5.24","30℃",4.05,"A"
"71","5.24","35℃",1.23,"A"
"72","5.24","40℃",0,"A"
"73","5.25","5℃",0.92,"A"
"74","5.25","10℃",1.71,"A"
"75","5.25","15℃",2.17,"A"
"76","5.25","20℃",3.26,"A"
"77","5.25","25℃",6.03,"A"
"78","5.25","30℃",4.37,"A"
"79","5.25","35℃",1.31,"A"
"80","5.25","40℃",0,"A"
"81","5.26","5℃",0.95,"A"
"82","5.26","10℃",1.8,"A"
"83","5.26","15℃",2.2,"A"
"84","5.26","20℃",3.39,"A"
"85","5.26","25℃",6.67,"A"
"86","5.26","30℃",4.6,"A"
"87","5.26","35℃",1.43,"A"
"88","5.26","40℃",0,"A"
"89","5.27","5℃",1.05,"A"
"90","5.27","10℃",1.79,"A"
"91","5.27","15℃",2.39,"A"
"92","5.27","20℃",9.78,"A"
"93","5.27","25℃",6.95,"A"
"94","5.27","30℃",4.77,"A"
"95","5.27","35℃",1.63,"A"
"96","5.27","40℃",0,"A"
"97","5.3","5℃",1.22,"A"
"98","5.3","10℃",1.91,"A"
"99","5.3","15℃",2.67,"A"
"100","5.3","20℃",4.06,"A"
"101","5.3","25℃",8.18,"A"
"102","5.3","30℃",5.55,"A"
"103","5.3","35℃",1.73,"A"
"104","5.3","40℃",0,"A"
"105","6.1","5℃",1.29,"A"
"106","6.1","10℃",2.05,"A"
"107","6.1","15℃",2.98,"A"
"108","6.1","20℃",4.48,"A"
"109","6.1","25℃",7.9,"A"
"110","6.1","30℃",6.25,"A"
"111","6.1","35℃",1.98,"A"
"112","6.1","40℃",0,"A"
"113","5.16","5℃",0,"B"
"114","5.16","10℃",0,"B"
"115","5.16","15℃",0,"B"
"116","5.16","20℃",1.12,"B"
"117","5.16","25℃",1.32,"B"
"118","5.16","30℃",1.23,"B"
"119","5.16","35℃",0,"B"
"120","5.16","40℃",0,"B"
"121","5.17","5℃",0,"B"
"122","5.17","10℃",0,"B"
"123","5.17","15℃",0.75,"B"
"124","5.17","20℃",1.33,"B"
